USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,487.8436109345201,151.93333333333334,106.0,0.0,639.7769442678534
"Griff (ğŸ’œ,ğŸ’œ)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,435.5766052129689,0.0,0.0,86.0,521.5766052129688
Juankbell#7458,missing user address,480.0254291163383,0.0,0.0,0.0,480.0254291163383
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,253.2981563890655,137.6,96.0,86.0,476.8981563890655
usamaahmed#9991,0xed23b82a6b1b0d2e75b87c01b0fdc7fcfb49f456,311.41513032422125,150.5,105.0,0.0,461.91513032422125
John Ellison#5093,missing user address,457.11760966306423,0.0,0.0,0.0,457.11760966306423
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,304.90909090909093,111.8,78.0,0.0,416.70909090909095
graial#0787,missing user address,397.5244755244755,0.0,0.0,0.0,397.5244755244755
richardblythman | Algovera.ai#3425,missing user address,340.4462809917356,0.0,0.0,0.0,340.4462809917356
mafer_cordovas#1034,0xd5288ed50a195017e5b30595f65091a7767817a4,98.41068022886205,153.36666666666667,107.0,86.0,337.7773468955287
babania#6905,missing user address,298.84043229497775,0.0,0.0,0.0,298.84043229497775
iviangita#3204,0xb760fe1bbc4a2752abcbb28291a57cb0ca99ff44,273.30832803560077,0.0,0.0,0.0,273.30832803560077
RachaelMalachy#5837,0xa15150d172ba951b4e5a20b2ca3cc0cb0d77d125,30.999364272091544,154.79999999999998,108.0,86.0,271.79936427209157
Annn3#3538,missing user address,252.91544818817547,0.0,0.0,0.0,252.91544818817547
jaklatt#2299,missing user address,246.9561347743166,0.0,0.0,0.0,246.9561347743166
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,111.14939605848696,0.0,0.0,86.0,197.14939605848696
VitorNunes#0090,missing user address,164.01780038143676,0.0,0.0,0.0,164.01780038143676
Marcel | Toucan#7777,missing user address,147.6160203432931,0.0,0.0,0.0,147.6160203432931
Chris Byrnes#4168,missing user address,138.48569612205978,0.0,0.0,0.0,138.48569612205978
Life is for living#9260,missing user address,123.94278448823904,0.0,0.0,0.0,123.94278448823904
Kojak#5611,0xe3181f4596509af72d684d89947df309f41f65ff,102.07374443738081,0.0,0.0,0.0,102.07374443738081
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,94.85696122059758,0.0,0.0,0.0,94.85696122059758
Letty#5399,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,92.99809281627464,0.0,0.0,0.0,92.99809281627464
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,83.81309599491418,0.0,0.0,0.0,83.81309599491418
DiogoJ#2058,missing user address,82.00890019071838,0.0,0.0,0.0,82.00890019071838
fabiomendes#4802,missing user address,80.20470438652258,0.0,0.0,0.0,80.20470438652258
divine_comedian#5493,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,79.986013986014,0.0,0.0,0.0,79.986013986014
Max Semenchuk#3335,0xb950e0e108546743af96eb493d4ff2abc63816db,78.40050858232676,0.0,0.0,0.0,78.40050858232676
T!b!#2584,missing user address,76.54164017800382,0.0,0.0,0.0,76.54164017800382
xdamman#3734,missing user address,61.944055944055954,0.0,0.0,0.0,61.944055944055954
JeffEmmett#7202,0x778549eb292ac98a96a05e122967f22efa003707,61.944055944055954,0.0,0.0,0.0,61.944055944055954
AWS#9944,missing user address,58.33566433566434,0.0,0.0,0.0,58.33566433566434
"kn00t (ğŸ¦, ğŸ¦)#8297",missing user address,58.33566433566433,0.0,0.0,0.0,58.33566433566433
The Blockchain Socialist â¬›ğŸŸ¥â¬›#5005,missing user address,52.92307692307692,0.0,0.0,0.0,52.92307692307692
Kris#8703,0xec952ed8e7c2aa466cac36fd611d2e87df1243d7,49.205340114431024,0.0,0.0,0.0,49.205340114431024
markop#2007,missing user address,45.54227590591228,0.0,0.0,0.0,45.54227590591228
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,45.43293070565798,0.0,0.0,0.0,45.43293070565798
anna-marie#8824,0x8041748a2a16e9b7a3980107f4376774421642c8,43.73808010171647,0.0,0.0,0.0,43.73808010171647
BOILÎR(Chris)#8898,missing user address,37.01335028607756,0.0,0.0,0.0,37.01335028607756
PÃ´pLine#9450,0xd3e4edc665612758fdc307113a30b49efbacbb00,36.4666242848061,0.0,0.0,0.0,36.4666242848061
thiago.rossi#1714,missing user address,34.6624284806103,0.0,0.0,0.0,34.6624284806103
unquale#1948,missing user address,30.999364272091544,0.0,0.0,0.0,30.999364272091544
kamikazechaser#6855,0x194cf4b3027e17a1bdedd87c52ade2c5c5c19026,30.999364272091544,0.0,0.0,0.0,30.999364272091544
senryu#5767,0x5299c7d2b73b6a96231081dabfd54dfcc84fedeb,30.999364272091544,0.0,0.0,0.0,30.999364272091544
Praise#7460,missing user address,30.999364272091544,0.0,0.0,0.0,30.999364272091544
Jeremy&TheGospelOfChange#8201,missing user address,30.835346471710107,0.0,0.0,0.0,30.835346471710107
geleeroyale#3228,missing user address,29.140495867768596,0.0,0.0,0.0,29.140495867768596
mattia#4245,missing user address,29.140495867768596,0.0,0.0,0.0,29.140495867768596
kluless.eth#0013,missing user address,27.390972663699937,0.0,0.0,0.0,27.390972663699937
MartinB#6719,missing user address,25.532104259376986,0.0,0.0,0.0,25.532104259376986
bends#3537,missing user address,25.532104259376986,0.0,0.0,0.0,25.532104259376986
mercedesrodsim#1317,missing user address,22.306420851875398,0.0,0.0,0.0,22.306420851875398
Rohekbenitez#8753,missing user address,16.94850603941513,0.0,0.0,0.0,16.94850603941513
HBesso31ğŸ™#4560,missing user address,16.401780038143674,0.0,0.0,0.0,16.401780038143674
haxelax#8585,missing user address,16.401780038143674,0.0,0.0,0.0,16.401780038143674
Nick FIORÎNZA#8698,missing user address,16.401780038143674,0.0,0.0,0.0,16.401780038143674
ygg_anderson#4998,missing user address,13.886840432294978,0.0,0.0,0.0,13.886840432294978
alpine.lines#3050,missing user address,12.73871582962492,0.0,0.0,0.0,12.73871582962492
jonathan.n#4234,missing user address,12.73871582962492,0.0,0.0,0.0,12.73871582962492
BiancaGadelha#2667,missing user address,10.934520025429117,0.0,0.0,0.0,10.934520025429117
Lin#3884,missing user address,10.934520025429117,0.0,0.0,0.0,10.934520025429117
logonaut.eth#9437,0xb0ccf43ada6cbaa26dcf4907117b496d49f74242,9.677050222504768,0.0,0.0,0.0,9.677050222504768
Mert Ozd#6679,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
alexsotodigital#7208,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
ALOYSIOUS#3049,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
Cryptainist#8427,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
antonio_paglino#7187,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
irenioskamoska#7519,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
bitsikka#8855,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
MetaMaximus#9821,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
KZ Flyer#0926,0x343ef442add9bd565d51b606f444f9221ad0aeb6,9.130324221233312,0.0,0.0,0.0,9.130324221233312
Pat âœ¨#3662,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
Will | Regen Foundation#6405,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
wslyvh#1059,missing user address,9.130324221233312,0.0,0.0,0.0,9.130324221233312
Shaun#4583,missing user address,5.467260012714559,0.0,0.0,0.0,5.467260012714559
AnnAnna#4694,0x9ef53569800e203c20200256cf134abc675bc8e1,5.467260012714559,0.0,0.0,0.0,5.467260012714559
GideonRo#3175,missing user address,5.467260012714559,0.0,0.0,0.0,5.467260012714559
ZER8ğŸ§ #9093,missing user address,5.467260012714559,0.0,0.0,0.0,5.467260012714559
Block Enthusiast#4019,missing user address,5.467260012714559,0.0,0.0,0.0,5.467260012714559
Rodricast#1415,missing user address,5.467260012714559,0.0,0.0,0.0,5.467260012714559
sohto#7500,missing user address,5.467260012714559,0.0,0.0,0.0,5.467260012714559
